producto_id,producto,codigo_interno,codigo_barras,precio_venta_actual,costo_compra_actual,flete_actual,ganancia_actual,inventario_id,almacen_id,almacen,stock_almacen,reservado,variante_id,talla,color,color_hex,stock_variante
30,"PANTALÓN WIDE LEG JEANS",GINEB1-03,GINEB1-03,756,,30,109.33,30,,,0,0,696,38,Azul,"",1
30,"PANTALÓN WIDE LEG JEANS",GINEB1-03,GINEB1-03,756,,30,109.33,395,13,GAIA,1,0,696,38,Azul,"",1
31,"BIKINIS COLOMBIANOS TEJIDOS",MICM1-16,MICM1-16,579,,,,31,,,0,0,697,UNICA,Morado,"",1
31,"BIKINIS COLOMBIANOS TEJIDOS",MICM1-16,MICM1-16,579,,,,31,,,0,0,698,UNICA,ROSADO,"",3
31,"BIKINIS COLOMBIANOS TEJIDOS",MICM1-16,MICM1-16,579,,,,31,,,0,0,699,UNICA,AMARILLO,"",2
31,"BIKINIS COLOMBIANOS TEJIDOS",MICM1-16,MICM1-16,579,,,,31,,,0,0,700,UNICA,CAFE,"",1
31,"BIKINIS COLOMBIANOS TEJIDOS",MICM1-16,MICM1-16,579,,,,31,,,0,0,701,UNICA,CELESTE,"",1
31,"BIKINIS COLOMBIANOS TEJIDOS",MICM1-16,MICM1-16,579,,,,396,8,"MAYA SWIM",8,0,697,UNICA,Morado,"",1
31,"BIKINIS COLOMBIANOS TEJIDOS",MICM1-16,MICM1-16,579,,,,396,8,"MAYA SWIM",8,0,698,UNICA,ROSADO,"",3
31,"BIKINIS COLOMBIANOS TEJIDOS",MICM1-16,MICM1-16,579,,,,396,8,"MAYA SWIM",8,0,699,UNICA,AMARILLO,"",2
31,"BIKINIS COLOMBIANOS TEJIDOS",MICM1-16,MICM1-16,579,,,,396,8,"MAYA SWIM",8,0,700,UNICA,CAFE,"",1
31,"BIKINIS COLOMBIANOS TEJIDOS",MICM1-16,MICM1-16,579,,,,396,8,"MAYA SWIM",8,0,701,UNICA,CELESTE,"",1
32,"BIKINI CON MOTAS",GINVA3-01,GINVA3-01,295,,,,32,,,0,0,702,S,"CAFÉ CON MOTAS","",1
32,"BIKINI CON MOTAS",GINVA3-01,GINVA3-01,295,,,,397,8,"MAYA SWIM",1,0,702,S,"CAFÉ CON MOTAS","",1
33,"Prueba 1",PRUEBA123,PRUEBA123,150,,20,,33,,,0,0,609,S,Negro,"",3
33,"Prueba 1",PRUEBA123,PRUEBA123,150,,20,,33,,,0,0,610,M,Blanco,#ffffff,2
33,"Prueba 1",PRUEBA123,PRUEBA123,150,,20,,363,8,"MAYA SWIM",3,0,609,S,Negro,"",3
33,"Prueba 1",PRUEBA123,PRUEBA123,150,,20,,363,8,"MAYA SWIM",3,0,610,M,Blanco,#ffffff,2
33,"Prueba 1",PRUEBA123,PRUEBA123,150,,20,,362,13,GAIA,2,0,609,S,Negro,"",3
33,"Prueba 1",PRUEBA123,PRUEBA123,150,,20,,362,13,GAIA,2,0,610,M,Blanco,#ffffff,2
34,"BIKINI JOYA COLOMBIANO",ABC123,ABC123,563,,,,34,,,0,0,703,S,Amarillo,"",1
34,"BIKINI JOYA COLOMBIANO",ABC123,ABC123,563,,,,34,,,0,0,704,M,Dorado,"",1
34,"BIKINI JOYA COLOMBIANO",ABC123,ABC123,563,,,,398,8,"MAYA SWIM",2,0,703,S,Amarillo,"",1
34,"BIKINI JOYA COLOMBIANO",ABC123,ABC123,563,,,,398,8,"MAYA SWIM",2,0,704,M,Dorado,"",1
35,"SHORT DE CUERO IMPERIO ESTUDIO",GINBA1-108,GINBA1-108,445,,40,39.94,35,,,0,0,705,P,"Café",#5a1c00,2
35,"SHORT DE CUERO IMPERIO ESTUDIO",GINBA1-108,GINBA1-108,445,,40,39.94,35,,,0,0,706,G,Camel,#ad3e00,1
35,"SHORT DE CUERO IMPERIO ESTUDIO",GINBA1-108,GINBA1-108,445,,40,39.94,35,,,0,0,707,P,cafe,#7a4a00,0
35,"SHORT DE CUERO IMPERIO ESTUDIO",GINBA1-108,GINBA1-108,445,,40,39.94,399,13,GAIA,3,0,705,P,"Café",#5a1c00,2
35,"SHORT DE CUERO IMPERIO ESTUDIO",GINBA1-108,GINBA1-108,445,,40,39.94,399,13,GAIA,3,0,706,G,Camel,#ad3e00,1
35,"SHORT DE CUERO IMPERIO ESTUDIO",GINBA1-108,GINBA1-108,445,,40,39.94,399,13,GAIA,3,0,707,P,cafe,#7a4a00,0
36,"SHORT SHEIN",GINVA1-24,GINVA1-24,423,,,,36,,,0,0,708,S,Guinda,"",1
36,"SHORT SHEIN",GINVA1-24,GINVA1-24,423,,,,400,13,GAIA,1,0,708,S,Guinda,"",1
37,"FALDA IMPERIO ESTUDIO",GINBA1-107,GINBA1-107,445,,,,37,,,0,0,711,P,Negra,"",1
37,"FALDA IMPERIO ESTUDIO",GINBA1-107,GINBA1-107,445,,,,37,,,0,0,712,M,Negra,"",2
37,"FALDA IMPERIO ESTUDIO",GINBA1-107,GINBA1-107,445,,,,37,,,0,0,713,M,Camel,"",1
37,"FALDA IMPERIO ESTUDIO",GINBA1-107,GINBA1-107,445,,,,37,,,0,0,714,G,Camel,"",1
37,"FALDA IMPERIO ESTUDIO",GINBA1-107,GINBA1-107,445,,,,37,,,0,0,715,P,"Café","",1
